,
01_prenom,02_genre
algar,m
alger,m
algernon,m
Ali,m
Alia,f
aliah,f
Alice,f
Alicia,f
alida,f
Alienor,f
Aliénor,f
aliisa,f
Alima,f
alin,m
Alina,f
alina (1),f
alina (2),f
Aline,f
Aliou,m
alis,f
alisa,f
Alisha,f
alisia,f
alison,"f,m"
Alissa,f
Alistair,m
alister,m
alisya,f
Alix,f
Alixe,f
Aliya,f
Aliyah,f
aliz,f
aliza,f
Alizee,f
Allan,m
allannah,f
Allegra,f
allegria,f
allen,m
allie,f
allison,f
allon,m
ally,f
allycia,f
allyn,m
allyson,f
Alma,f
almas,f
almira,f
almudena,f
alodia,f
alois,m
Aloïs,m
aloisia,f
aloisio,m
alojz,m
Alon,m
alondra,f
Alone,m
alonso,m
alonzo,m
Aloys,m
aloysius,m
alp,m
alpertti,m
Alpha,m
alphaeus,m
Alphonse,m
alphonsine,f
alphonso,m
alphonsus,m
alphonzo,m
alpin,m
alta,f
altan,m
alte,f
alter,m
althea,f
alton,m
aludra,f
alun,m
alva,m
alvah,m
alvar,m
álvaro,m
alvena,f
alvilda,f
alvin,m
alvina,f
alvis,m
alwilda,f
alwyn,m
Aly,m
Alya,f
Alyah,f
alyce,f
Alycia,f
alyona,f
alys,f
alysha,f
alyson,f
Alyssa,f
Alyssia,f
Alysson,f
alyusha,m
alyx,f
alzbeta,f
ama,f
amabel,f
amada,f
amadeo,m
amadeus,m
amadi (1),f
amadi (2),m
Amadou,m
Amaël,m
amal (1),"f,m"
amal (2),m
amala,f
Amalia,f
amália,f
amalric,m
amalthea,f
Amanda,f
Amandine,f
amando,m
Amani,m
Amar,m
Amara,m
amaranta,f
amarante,f
amardad,m
amariah,m
amaryllis,f
amaterasu,f
amato,m
Amaury,m
amaya,f
amber,f
ambra,f
Ambre,f
Ambrine,f
ambrogino,m
ambrogio,m
Ambroise,m
ambrose,m
ambrosia,f
ambrosine,f
ambrosio,m
ambrus,m
amedea,f
amédée,m
amedeo,m
amedeus,m
Amel,f
Amelia,f
amélia,f
Amelie,f
Amélie,f
amen,m
amenhotep,m
america,f
americo,m
amerigo,m
amethyst,f
amhlaidh,m
amhlaoibh,m
ami,f
amias,m
amice,f
Amicie,f
amie,f
amika,f
amilcar,m
amilia,f
Amin,m
Amina,f
Aminata,f
aminda,f
Amine,m
aminta,f
Amir,m
amir (1),m
amir (2),m
Amira,f
amita,f
amittai,m
amity,f
ammiel,m
ammon,m
amon,m
Amos,m
amparo,f
amrit,"m,f"
amrita,f
Amy,f
amyas,m
amynta,f
an,"m,f"
Ana,f
Anabel,f
Anabelle,f
anacleto,m
anacletus,m
Anae,f
Anael,f
Anaël,f
Anaelle,f
Anaëlle,f
anahid,f
anahita,f
Anais,f
Anaïs,f
anaitis,f
anakin,m
anakoni,m
anan (1),"m,f"
anan (2),m
anand,m
ananda,f
anani,m
ananias,m
ananta,m
ananth,m
anantha,m
anargyros,m
anaru,m
Anas,m
Anass,m
anastacia,f
anastas,m
Anastasia,f
anastasie,f
anastasio,m
anastasios,m
anastasius,m
anasztáz,m
anasztázia,f
anat,f
anath (1),m
anath (2),f
Anatole,m
anatoli,m
anatolius,m
anatoly,m
anatu,f
anaxagoras,m
anca,f
anchjo,m
andela,f
ander,m
anders,m
anderson,m
andor,m
andra,f
andras,m
andrás,m
andraste,f
Andre,m
André,m
Andrea,f
Andréa,m
andrea (1),m
andrea (2),f
Andreas,m
Andréas,m
andrée,f
andreea,f
Andrei,m
andreia,f
andrej,m
andreja,f
andrés,m
andreu,m
Andrew,m
andriana,f
andries,m
andrija,m
andrina,f
andris,m
andriy,m
andro,m
androcles,m
andromache,f
andromeda,f
andronikos,m
andrzej,m
Andy,m
ane,f
aneirin,m
anelie,f
anemone,f
Anes,m
aneurin,m
anfisa,f
Ange,m
Angel,f
Angela,f
ángela,f
Angèle,f
angelia,f
angelica,f
angelika,f
Angelina,f
Angeline,f
Angelique,f
Angélique,f
angelita,f
angelle,f
Angelo,m
angelos,m
angerona,f
angharad,f
Angie,f
angus,m
angyalka,f
Ania,f
anibal,m
anica,f
anicetus,m
aniela,f
anika,f
aniketos,m
anikó,f
anima (1),f
anima (2),f
aniruddha,m
Anis,m
anisa,f
anise,f
anisim,m
Anissa,f
Anita,f
anja,f
anjali,f
anjelica,f
anka,f
anke,f
ankur,m
ann,f
Anna,f
annabel,f
annabella,f
Annabelle,f
Annaëlle,f
annalisa,f
annas,m
Anne,f
Anne-Laure,f
Anne-Sophie,f
anneka,f
anneke,f
anneli,f
annelie,f
anneliese,f
annelise,f
annemarie,f
annetta,f
annette,f
annice,f
annick,f
annie,f
anniina,f
annika,f
annikki,f
annis,f
annmarie,f
annunciata,f
annunziata,f
annuska,f
anona,f
Anouck,f
Anouk,f
anoush,f
anouska,f
anraí,m
ansel,m
anselm,m
anselma,f
Anselme,m
anselmo,m
ansgar,m
anshel,m
anson,m
antal,m
antanas,m
ante,m
antero,m
anthea,f
Anthony,m
antigone,f
antigonus,m
antiope,f
antipater,m
antje,f
anto,m
Antoine,m
antoinette,f
Anton,m
antonella,f
antonello,m
antonette,f
antoni,m
Antonia,f
antonie,f
antonietta,f
