profile_image,experience,price,categories,supermalter,missions,profil,link,creation_date,Region_Name
https://dam.malt.com/bbsd29li1fgnhyejqjjz?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,450 €,['Consultant analytics'],0,,davidletellier,https://www.malt.fr/profile/davidletellier,2013-07-23,centre-val de loire
https://dam.malt.com/khcyljvg7xboa7fujyh1?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,400 €,['Consultant Communication'],0,,roxanarugina,https://www.malt.fr/profile/roxanarugina,2013-07-28,île-de-france
https://dam.malt.com/93f1235a-c5fd-41d2-b168-a7f055d844f5?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,750 €,"['Cloud Engineer & Architect', 'Développeur Mobile', 'Développeur Web Back-end', 'Développeur Web Front-end', 'Ingénieur logiciel', 'Intégrateur Web', 'Software developer engineer in Test']",0,,samuelkauffmann,https://www.malt.fr/profile/samuelkauffmann,2013-11-20,île-de-france
https://dam.malt.com/bpupz9vuwvgtbqfi3ukv?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,400 €,['Product Manager'],0,,nicolascarlo,https://www.malt.fr/profile/nicolascarlo,2013-05-14,île-de-france
No profile image,-,125 €,['Traffic Manager'],0,,michelbhasin,https://www.malt.fr/profile/michelbhasin,2013-06-03,île-de-france
https://dam.malt.com/zxbrlbrhwptd6ybtsvqb?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,1 500 €,['Administrateur Système et Réseaux'],0,,ericcestari,https://www.malt.fr/profile/ericcestari,2013-06-07,île-de-france
https://dam.malt.com/ehhx1hgpwuxocmnghggr?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,100 €,['Content manager'],0,,jonathandarcey,https://www.malt.fr/profile/jonathandarcey,2013-05-28,auvergne-rhône-alpes
https://dam.malt.com/6a3d843c-ca9a-4297-92e7-71adaa80ab76?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,500 €,"['Consultant Marketing', 'Conversion Rate Optimizer', 'E-merchandiser', 'Growth Hacker', 'Traffic Manager']",0,,guillaumenomine,https://www.malt.fr/profile/guillaumenomine,2013-06-07,île-de-france
https://dam.malt.com/thxo4tzeqwqadbbpojq2?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,500 €,['Product Manager'],0,,chakibbenziane,https://www.malt.fr/profile/chakibbenziane,2013-07-24,île-de-france
https://dam.malt.com/ll5184ykxaakdwceqi7m?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,1 000 €,['Développeur Web Back-end'],0,,davidgageot,https://www.malt.fr/profile/davidgageot,2013-01-25,île-de-france
https://dam.malt.com/jotjvrpgfm0px42mref3?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,480 €,"['Data Scientist', 'Développeur CMS', 'Développeur Mobile', 'Développeur Web Back-end', 'Développeur Web Front-end']",0,5.0,romainlegouverneur,https://www.malt.fr/profile/romainlegouverneur,2013-11-13,hauts-de-france
No profile image,-,125 €,['Développeur CMS'],0,,abdoulayediop,https://www.malt.fr/profile/abdoulayediop,2013-07-18,île-de-france
https://dam.malt.com/kfedstq5h9fzsxnbfuiq?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,500 €,"['Développeur Web Back-end', 'Développeur Web Front-end']",0,,jocelynlecomte,https://www.malt.fr/profile/jocelynlecomte,2013-09-16,auvergne-rhône-alpes
https://dam.malt.com/aqasxrv66k89ovybwjan?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,750 €,['Développeur Web Back-end'],0,,khanhtuongmaudoux,https://www.malt.fr/profile/khanhtuongmaudoux,2013-01-30,île-de-france
https://dam.malt.com/exiknj1xyhftvnsl2wjx?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,400 €,"['Photographe', 'Graphiste', 'Illustrateur']",0,3.0,alexandrapruvost,https://www.malt.fr/profile/alexandrapruvost,2013-09-26,hauts-de-france
https://dam.malt.com/lci1w5mucmvluvutk9uj?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,500 €,['Photographe'],0,,stefanieblebowski,https://www.malt.fr/profile/stefanieblebowski,2013-03-24,île-de-france
https://dam.malt.com/uodlhsq8s5dmfnnu0i1x?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,806 €,['Développeur Web Back-end'],0,,thomasqueste,https://www.malt.fr/profile/thomasqueste,2013-01-31,île-de-france
https://dam.malt.com/335fcad0-fb9c-447c-bdd0-adbbbd3e6ede?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,500 €,"['UI Designer', 'Webdesigner']",0,,walidchouket,https://www.malt.fr/profile/walidchouket,2013-10-10,île-de-france
https://dam.malt.com/gxhbv3cm5rw9937r8qvj?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,100 €,[],0,,jacquesgerard,https://www.malt.fr/profile/jacquesgerard,2014-01-03,bretagne
https://dam.malt.com/plrnzqfih3htm7dzyzxq?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,400 €,['Graphiste'],0,,julienpoli,https://www.malt.fr/profile/julienpoli,2013-06-06,île-de-france
No profile image,-,250 €,[],0,,bassemlajmi,https://www.malt.fr/profile/bassemlajmi,2013-06-10,nouvelle-aquitaine
https://dam.malt.com/wqifr16cunawii0ssjns?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,450 €,[],0,,ericpommereuil,https://www.malt.fr/profile/ericpommereuil,2013-10-28,auvergne-rhône-alpes
https://dam.malt.com/xuua7vla1zuzfsdazmkf?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,-,125 €,"['Développeur Web Back-end', 'Développeur Web Front-end', 'Ingénieur logiciel']",0,,cedricnicoloso,https://www.malt.fr/profile/cedricnicoloso,2014-01-20,auvergne-rhône-alpes
No profile image,-,400 €,['Développeur Web Back-end'],0,,xaviercoiffard,https://www.malt.fr/profile/xaviercoiffard,2013-05-21,hauts-de-france
https://dam.malt.com/vvkhftroduxkyyejhike?gravity=face&func=face&face_margin=70&w=440&h=440&force_format=webp,8-15 ans,400 €,"['Graphiste', 'Webdesigner']",0,,johannebismuth,https://www.malt.fr/profile/johannebismuth,2013-05-27,île-de-france
